"","X","runnum","noden","spreadern","ntwktype","ptrustavg","passlimit","accpthres","itrustavg","stepsn","X.1","X","agents.n","links.n","links.used","spreaders.avglinks","links.mean.trust","links.mean.inst.trust","ambiv.n","ambiv.avglinks","ambiv.cluster.coeff","ambiv.betweenness","ambiv.eigencent","ambiv.pgrank","ambiv.closeness","ambiv.mean.inst.trust","rej.n","rej.avglinks","rej.coeff","rej.betweenness","rej.eigencent","rej.pgrank","rej.closeness","rej.mean.inst.trust","aa.n","aa.avglinks","aa.coeff","aa.betweenness","aa.eigencent","aa.pgrank","aa.closeness","aa.mean.inst.trust","as.n","as.avglinks","as.coeff","as.betweenness","as.eigencent","as.pgrank","as.closeness","as.mean.inst.trust","believers.n","misinfo.avgexpose.n"
"1",1,1,125,1,"""scale-free""",25,1,25,25,500,"count turtles",1,125,124,98,2,19.3019217946592,74.659818026765,33,1.75757575757576,0,159.272727272727,0.0647140644194418,0.00732773289863532,0.155640533279531,74.6052617426919,4,2.75,0,742.5,0.0564557046599428,0.0102977636595866,0.163644157237571,78.9781098237555,7,2.14285714285714,0,255,0.0889178545656046,0.00862456559751089,0.163676191725197,72.0150185117076,81,2.02469135802469,0,407.592592592593,0.0712804268174963,0.00810644198177915,0.158272913955806,74.6973586044422,69,0.792
"2",2,2,125,1,"""scale-free""",25,1,25,25,500,"count turtles",2,125,124,118,2,22.3977794358196,76.1134926524605,32,1.65625,0,137.71875,0.0431068839331824,0.00700889724290939,0.175938239177124,78.1529540054256,6,1.33333333333333,0,119.666666666667,0.0677411050347489,0.00563821096679377,0.176874515581203,72.0368623054863,6,1.33333333333333,0,60.8333333333333,0.0196310026055791,0.00585398641025392,0.167277964339702,78.2725345720007,81,2.20987654320988,0,369.432098765432,0.0913027501400817,0.0087254580736372,0.193974910135819,75.4498231125806,83,0.952
"3",3,3,125,1,"""scale-free""",25,1,25,25,21,"count turtles",3,125,124,124,1,19.5283517034982,74.2527768675645,33,2.36363636363636,0,431.060606060606,0.107613168649259,0.00927025928734665,0.181516232214434,77.1117094382623,8,1,0,0,0.0284956472254598,0.00446749868382256,0.163279940861136,77.7098872370444,5,2.8,0,384.6,0.0415409746763867,0.0109742637430811,0.1795972111739,67.4603953386893,79,1.87341772151899,0,283.164556962025,0.0774496928947699,0.00763886247255157,0.171345168393766,73.1383496505456,83,1
"4",4,4,125,1,"""scale-free""",25,1,25,25,500,"count turtles",4,125,124,109,1,20.9350755265181,75.4763211098681,36,1.91666666666667,0,287.916666666667,0.0897229862204498,0.00775544051400882,0.161451050074059,79.1433814120684,4,3,0,438.5,0.141423601491098,0.01148507816259,0.183525605861836,66.258660796657,5,1.8,0,122.4,0.0550004636649797,0.0078093775067503,0.146655244565031,78.7904861478893,80,1.975,0,358.5125,0.102846938787035,0.00794771176639463,0.162595856344177,74.0798916746621,76,0.88
"5",5,5,125,1,"""scale-free""",25,1,25,25,500,"count turtles",5,125,124,117,1,18.2917922135326,76.1252422399962,34,2.14705882352941,0,304.941176470588,0.0424406597171255,0.00863071111445413,0.170031188448345,77.5260712897397,6,2,0,142.5,0.028197312844441,0.00837077039821421,0.161789684218624,79.9055341019511,7,2.14285714285714,0,393.142857142857,0.0596797489147825,0.0085664167609436,0.16789193714675,70.0350029839187,78,1.8974358974359,0,314.115384615385,0.0815906798043241,0.00764572156913678,0.178566418627667,75.7703927006312,79,0.944
"6",6,6,125,1,"""scale-free""",25,1,25,25,500,"count turtles",6,125,124,112,2,19.7537620799361,73.8622682831793,34,1.76470588235294,0,142.529411764706,0.0652669596877664,0.00726337380099584,0.198629886438446,72.4752772403308,8,1.5,0,174.25,0.0525694357329924,0.00631576384358902,0.191487136546933,74.8490113781111,6,2.33333333333333,0,524,0.0936555400272683,0.00909921336093491,0.204363884189139,79.9198670734646,77,2.1038961038961,0,322.38961038961,0.067438098683482,0.00841459610197168,0.189220581359235,73.900166438448,75,0.904
"7",7,7,125,1,"""scale-free""",25,1,25,25,500,"count turtles",7,125,124,1,1,24.0890078779328,73.4804688061425,34,1.91176470588235,0,214.617647058824,0.0777228143348267,0.00773273718328764,0.199567302753036,72.6976188626909,6,4.5,0,1141.66666666667,0.216959152114964,0.0164015949473473,0.23252227853968,72.8960125050804,7,2,0,221.285714285714,0.0807014054699832,0.00805901609019847,0.197776754470487,79.3288275092904,78,1.82051282051282,0,215.74358974359,0.0646253500502984,0.00746492632631727,0.197057386919425,73.3418165620617,1,0.016
"8",8,8,125,1,"""scale-free""",25,1,25,25,500,"count turtles",8,125,124,105,2,19.4238105694503,75.2253161234912,34,1.88235294117647,0,312.382352941176,0.0843065342665831,0.00753032429546996,0.180959667370995,73.8550104460544,7,2.71428571428571,0,339.142857142857,0.0296220685895074,0.0109331873014228,0.170550465758528,77.2033166213347,5,1.4,0,73,0.0293653110304194,0.0058873662827744,0.174225922428163,73.5801323063634,79,2,0,305.873417721519,0.0651865455867056,0.00807594723329354,0.180256450187198,75.7439276251821,72,0.848
"9",9,9,125,1,"""scale-free""",25,1,25,25,500,"count turtles",9,125,124,114,1,20.2420074989223,74.8118124885233,33,1.60606060606061,0,250.666666666667,0.0760518412605674,0.0065548147532747,0.20967834898002,74.941286917625,5,2.2,0,240.2,0.0848457142252036,0.00883776515133033,0.222784411807024,83.202099427332,6,1,0,0,0.0639120419091878,0.00436369368590007,0.208623040920087,75.8308790693889,81,2.19753086419753,0,270.925925925926,0.0646105473735284,0.00880642129962818,0.202997741994044,74.1656582868,78,0.92
"10",10,10,125,1,"""scale-free""",25,1,25,25,500,"count turtles",10,125,124,103,2,20.0905086632532,74.1013931055932,33,1.75757575757576,0,133.030303030303,0.0559086226326274,0.00731047854623907,0.192693991623057,76.2742185562888,6,2.33333333333333,0,396.833333333333,0.0238568743957374,0.00898619521352128,0.198647009650827,69.3940094425885,5,2,0,194.2,0.0225563230415483,0.00831249255398092,0.192886597315008,74.884901483168,81,2.04938271604938,0,301.654320987654,0.0795707105706622,0.00818857498670467,0.204697626641059,73.5164982934599,73,0.832
