"","X","runnum","n","spreadern","ntype","ptrustavg","passlimit","accpthres","itrustavg","stepsn","fininitval","X","agents.n","links.n","spreaders.avglinks","ambiv.n","ambiv.avglinks","ambiv.cluster.coeff","ambiv.betweenness","ambiv.eigencent","ambiv.pgrank","ambiv.closeness","rej.n","rej.avglinks","rej.coeff","rej.betweenness","rej.eigencent","rej.pgrank","rej.closeness","aa.n","aa.avglinks","aa.coeff","aa.betweenness","aa.eigencent","aa.pgrank","aa.closeness","as.n","as.avglinks","as.coeff","as.betweenness","as.eigencent","as.pgrank","as.closeness","believers.n","misinfo.avgexpose.n"
"14",14,14,125,1,"""scale-free""",25,1,25,25,500,"count turtles",14,125,124,2,34,1.58823529411765,0,164.147058823529,0.0677825549502238,0.00656294079580923,0.17965117377876,7,2.14285714285714,0,530.571428571429,0.144909826662518,0.00842053414410047,0.202613400930965,6,4,0,1241.66666666667,0.246159186354559,0.0145702302885852,0.213244284765721,78,1.98717948717949,0,248.141025641026,0.0770450588254088,0.00808326784874706,0.179977303432947,63,0.736
"15",15,15,125,1,"""scale-free""",25,1,25,25,500,"count turtles",15,125,124,2,33,1.90909090909091,0,255.848484848485,0.0770686278303925,0.00765822067547193,0.196952905168937,8,2.375,0,465,0.0836378493965381,0.00923908200512978,0.212454387121612,8,2.625,0,314,0.0180602613137607,0.0104002177783653,0.184350892078535,76,1.90789473684211,0,242.486842105263,0.0676204292195323,0.00776531999265086,0.197987977126153,4,0.056
"16",16,16,125,1,"""scale-free""",25,1,25,25,500,"count turtles",16,125,124,2,33,1.6969696969697,0,177.363636363636,0.0463320237787553,0.00711631923723052,0.175028847599987,8,3.25,0,865.125,0.177871705071071,0.0120669378978699,0.19428983549499,8,1.75,0,632.125,0.085955676820705,0.00674190362351855,0.199115220987572,76,2,0,228.486842105263,0.0799049144876127,0.00808803596053007,0.190904201441649,41,0.504
"17",17,17,125,1,"""scale-free""",25,1,25,25,500,"count turtles",17,125,124,3,32,1.84375,0,317.6875,0.0855129358099685,0.00750249087261359,0.175703839310019,5,2.4,0,218.4,0.153733170011313,0.00953033371361061,0.19781038035148,6,1,0,0,0.0322466930027033,0.00454668565719258,0.16081965356632,82,2.08536585365854,0,318.341463414634,0.0986725757510289,0.00835351840933117,0.180857535644177,81,0.928
"18",18,18,125,1,"""scale-free""",25,1,25,25,500,"count turtles",18,125,124,1,33,1.63636363636364,0,231.757575757576,0.0591517034366481,0.00679867077288365,0.180842412570261,5,1.4,0,73,0.053885153142717,0.00605202255907731,0.160835003356629,6,2.33333333333333,0,408.166666666667,0.098752471219402,0.00908767111567932,0.183330941679426,81,2.1358024691358,0,326.320987654321,0.063287706668675,0.00852910771611577,0.180975477668955,86,0.976
"19",19,19,125,1,"""scale-free""",25,1,25,25,500,"count turtles",19,125,124,1,34,1.91176470588235,0,196.382352941176,0.0687818975390877,0.00783661410253293,0.190570629376716,5,2,0,170.4,0.121297287061931,0.00818112359861108,0.209641083922651,7,2.42857142857143,0,746.142857142857,0.095908776777107,0.00922715369798841,0.19759186317779,79,1.9746835443038,0,262.177215189873,0.0980316534550162,0.00795011932449248,0.195291139077301,79,0.944
"20",20,20,125,1,"""scale-free""",25,1,25,25,500,"count turtles",20,125,124,2,33,2.18181818181818,0,273.575757575758,0.101256953176875,0.00875209054613097,0.182479779813852,8,2.25,0,543.125,0.109916842720724,0.00879540813174469,0.195742225611754,6,1.83333333333333,0,102.333333333333,0.0102167812055422,0.00786610411894589,0.156244324126165,78,1.88461538461538,0,289.474358974359,0.0614497457429117,0.00761052720782109,0.182596390309236,54,0.688
"21",21,21,125,1,"""scale-free""",25,1,25,25,500,"count turtles",21,125,124,3,35,2.54285714285714,0,407.314285714286,0.104168725827871,0.00990287509062129,0.201437692549309,7,1.42857142857143,0,52.7142857142857,0.0961846187155501,0.00614688301110273,0.209177487438757,8,2.375,0,267.5,0.0563767800102248,0.00959349089204436,0.186463771576934,75,1.73333333333333,0,219.24,0.0603581865341643,0.00711497684818907,0.196369458524421,82,0.976
"22",22,22,125,1,"""scale-free""",25,1,25,25,500,"count turtles",22,125,124,1,35,1.8,0,187.857142857143,0.0818496465309683,0.00740020908585432,0.184759170284538,4,2,0,122.75,0.0832560623060501,0.00829447467489384,0.19150724355494,7,2.28571428571429,0,372.714285714286,0.0706035017199049,0.00922691411040296,0.178418603266246,79,2.0379746835443,0,322.012658227848,0.119665996951192,0.00814210613319877,0.190714376295425,83,0.968
"23",23,23,125,1,"""scale-free""",25,1,25,25,500,"count turtles",23,125,124,1,31,1.7741935483871,0,184.483870967742,0.0683729364510777,0.00724881668392614,0.199229166150908,7,2.57142857142857,0,521.571428571429,0.034697235813626,0.00999803929044885,0.198251390755971,6,1.83333333333333,0,102.333333333333,0.0527502898788037,0.00778377234673162,0.19216710144697,81,2.02469135802469,0,293.481481481481,0.0679815938738082,0.00813083671215751,0.193770514939434,67,0.76
