"","X","runnum","n","spreadern","ntype","ptrustavg","passlimit","accpthres","itrustavg","stepsn","fininitval","X","agents.n","links.n","spreaders.avglinks","ambiv.n","ambiv.avglinks","ambiv.cluster.coeff","ambiv.betweenness","ambiv.eigencent","ambiv.pgrank","ambiv.closeness","rej.n","rej.avglinks","rej.coeff","rej.betweenness","rej.eigencent","rej.pgrank","rej.closeness","aa.n","aa.avglinks","aa.coeff","aa.betweenness","aa.eigencent","aa.pgrank","aa.closeness","as.n","as.avglinks","as.coeff","as.betweenness","as.eigencent","as.pgrank","as.closeness","believers.n","misinfo.avgexpose.n"
"1641",1641,1641,125,10,"""scale-free""",25,1,25,25,21,"count turtles",1641,125,124,3,33,2.18181818181818,0,414.333333333333,0.083177482636227,0.00859584996367031,0.179798272900005,7,1,0,0,0.0270591562286322,0.00449577747518444,0.171119069234656,5,1.4,0,73.4,0.0517049945188756,0.00602500430237217,0.164055784632759,80,2.025,0,298.975,0.0554307596148982,0.00818426859200909,0.178156259221872,89,1.024
"1642",1642,1642,125,10,"""scale-free""",25,1,25,25,500,"count turtles",1642,125,124,2.2,34,1.58823529411765,0,122.676470588235,0.0697661307773109,0.0066570449629047,0.193946619794371,5,1.2,0,24.6,0.0452772745185668,0.00535502566034965,0.186709842161451,7,1.42857142857143,0,52.5714285714286,0.0911721397241008,0.00598475711107197,0.209216619049707,79,2.25316455696203,0,350.379746835443,0.105957876482145,0.00892394991369605,0.20373669830629,89,1.008
"1643",1643,1643,125,10,"""scale-free""",25,1,25,25,500,"count turtles",1643,125,124,2.2,34,1.97058823529412,0,334.911764705882,0.0711424590455249,0.008007384159635,0.179159712993364,5,1.8,0,170.2,0.104997150732771,0.00725457035082508,0.184848090440369,9,3.22222222222222,0,1011.33333333333,0.178916922736011,0.0118449212431339,0.197376642638806,77,1.85714285714286,0,207.116883116883,0.0728850123165606,0.00759573760558545,0.17650885637105,87,0.952
"1644",1644,1644,125,10,"""scale-free""",25,1,25,25,16,"count turtles",1644,125,124,1.5,32,2.28125,0,363.3125,0.0902431803806958,0.00908028442530856,0.175187987607427,5,1,0,0,0.0796245748465688,0.0043851651361982,0.172759448020705,8,1.875,0,210.375,0.146488406524932,0.00750269313961093,0.189832751966292,80,1.9375,0,317.5875,0.08457933586921,0.00784354409490309,0.171915887055671,94,1.032
"1645",1645,1645,125,10,"""scale-free""",25,1,25,25,500,"count turtles",1645,125,124,2,34,2.02941176470588,0,205.794117647059,0.0934216956763081,0.00818013548210721,0.187995207846794,8,1.375,0,61.25,0.0287307071845165,0.00608998301596639,0.157857408437773,5,1,0,0,0.12336642783202,0.00423014213985845,0.207062409809358,78,2.08974358974359,0,360.01282051282,0.0983177792143193,0.0083590361382222,0.187446820318531,83,0.992
"1646",1646,1646,125,10,"""scale-free""",25,1,25,25,500,"count turtles",1646,125,124,1.8,34,2.29411764705882,0,271.588235294118,0.106802544406293,0.00901437604769686,0.227916880078642,8,1.5,0,76.25,0.0451652501548385,0.00633539605712518,0.209577230802797,4,2.75,0,999.5,0.118201729050085,0.0102272776774314,0.252971803451637,79,1.86075949367089,0,197.772151898734,0.0508288050821373,0.00761922702799467,0.211832684695693,83,1.024
"1647",1647,1647,125,10,"""scale-free""",25,1,25,25,500,"count turtles",1647,125,124,2.6,34,1.88235294117647,0,261.5,0.0771199443736353,0.00764379740086206,0.194003262679763,5,4.8,0,1122.4,0.26315122865741,0.0176115041241774,0.224749129660799,4,1.75,0,122.25,0.083091224386432,0.00739920153430484,0.194394379896875,82,1.86585365853659,0,209.121951219512,0.0924683640895135,0.00759093367820223,0.204752356164249,58,0.736
"1648",1648,1648,125,10,"""scale-free""",25,1,25,25,500,"count turtles",1648,125,124,2.7,34,2,0,163.352941176471,0.0819735558708124,0.0082266705192537,0.179851222157719,7,2.57142857142857,0,307.428571428571,0.183932347857286,0.00988194914515359,0.188748522013263,6,1,0,0,0.0451688489070779,0.00457319824083794,0.16914828980406,78,2,0,355.205128205128,0.0959301963680229,0.00799590216518296,0.188263836708609,74,0.872
"1649",1649,1649,125,10,"""scale-free""",25,1,25,25,500,"count turtles",1649,125,124,1.6,32,1.46875,0,101.65625,0.0743590448090561,0.006195850149857,0.193400769558596,6,1.33333333333333,0,61.1666666666667,0.0475322004478143,0.00571912722304971,0.193424947653256,6,2.33333333333333,0,237.166666666667,0.0927234530008488,0.00920778372415535,0.209931412899228,81,2.20987654320988,0,338.802469135802,0.113095319498953,0.00879223863606599,0.201539743397457,88,0.984
"1650",1650,1650,125,10,"""scale-free""",25,1,25,25,500,"count turtles",1650,125,124,1.7,35,2.17142857142857,0,341.742857142857,0.102884130727897,0.00859466743544555,0.187236027381585,6,1.5,0,81.5,0.0394461455577313,0.00642064791744462,0.176001331780191,5,2.4,0,945.2,0.152435930581448,0.00897473147790877,0.218142471041145,79,1.91139240506329,0,225.417721518987,0.0905187487412037,0.00779479866917967,0.187267289884654,86,1
"1651",1651,1651,125,10,"""scale-free""",25,1,25,50,18,"count turtles",1651,125,124,2.1,35,2.42857142857143,0,343.428571428571,0.0714425512308769,0.00961467039050462,0.210491031153242,6,1.16666666666667,0,40.6666666666667,0.0914975744805043,0.00498285251875698,0.224503154048697,5,1.2,0,72.6,0.031247970013671,0.00508365837043232,0.205249169979066,79,1.89873417721519,0,221.050632911392,0.0727662669323506,0.00769836872617259,0.214616414636508,76,1.048
"1652",1652,1652,125,10,"""scale-free""",25,1,25,50,500,"count turtles",1652,125,124,2.4,33,2.06060606060606,0,292.545454545455,0.127827939480247,0.00822228404622886,0.209637758792229,7,1.85714285714286,0,139.142857142857,0.149501659979197,0.00754840414778842,0.216672977767449,9,1.22222222222222,0,53.7777777777778,0.110551871232369,0.00521331528957593,0.205626241464599,76,2.05263157894737,0,259.657894736842,0.110918449012725,0.00827507841886507,0.206992384545002,73,0.984
"1653",1653,1653,125,10,"""scale-free""",25,1,25,50,500,"count turtles",1653,125,124,1.9,33,1.60606060606061,0,124.333333333333,0.039808569325447,0.00679876713095377,0.18513862660126,6,2.5,0,222,0.116054156487133,0.0100242387815767,0.202131264189068,6,1.33333333333333,0,137.5,0.175034514537027,0.00549138845006439,0.213105430794219,80,2.15,0,337.875,0.0836874623811079,0.00853183651610848,0.198454501250533,78,0.96
"1654",1654,1654,125,10,"""scale-free""",25,1,25,50,500,"count turtles",1654,125,124,1.4,35,1.62857142857143,0,182.657142857143,0.0410298104297779,0.00685246671332639,0.176831407211144,6,1.33333333333333,0,41,0.0186281185357371,0.00573686923915806,0.18503442823852,7,2.85714285714286,0,708.285714285714,0.0179387182997582,0.0110933182537642,0.20030931878272,77,2.11688311688312,0,311.857142857143,0.0789452243468115,0.00841674314054906,0.18754169967072,70,1
"1655",1655,1655,125,10,"""scale-free""",25,1,25,50,500,"count turtles",1655,125,124,1.6,34,1.64705882352941,0,113.382352941176,0.0955836786084236,0.00683662168621767,0.213228961941604,7,2.57142857142857,0,508.857142857143,0.125851575991086,0.00991316417169991,0.230397626711158,7,2.57142857142857,0,353.857142857143,0.126288459979575,0.00998104375554095,0.212459160426391,77,2.02597402597403,0,259.974025974026,0.0974098521897154,0.00815968061270016,0.212369175707689,57,0.76
"1656",1656,1656,125,10,"""scale-free""",25,1,25,50,500,"count turtles",1656,125,124,1.9,35,1.85714285714286,0,439.714285714286,0.0768249927591557,0.00737687547493568,0.172799562394599,6,1.16666666666667,0,20.5,0.117262898700867,0.0050326530481617,0.180767924964163,10,2.1,0,312.7,0.0464842451838508,0.00858565134185767,0.149303371580738,74,2.09459459459459,0,296.702702702703,0.0806660792297176,0.00845617468472573,0.166456700346639,74,1.024
"1657",1657,1657,125,10,"""scale-free""",25,1,25,50,500,"count turtles",1657,125,124,1.7,35,2.05714285714286,0,314.114285714286,0.117917057953504,0.00813257680882051,0.190247485610476,6,1.33333333333333,0,61.1666666666667,0.0383812302362161,0.00583925607586302,0.168272909233728,5,3,0,930.4,0.124489524528042,0.0111878805318517,0.184268529608148,79,1.93670886075949,0,253.253164556962,0.0852383371869036,0.00790360598198538,0.180484046298327,76,1.032
"1658",1658,1658,125,10,"""scale-free""",25,1,25,50,500,"count turtles",1658,125,124,1.2,34,1.97058823529412,0,351.058823529412,0.0913698074830271,0.00785453242028266,0.192703340390835,5,1.4,0,49.2,0.0616881608263979,0.00611074728133424,0.178515488882749,5,3.2,0,357.8,0.0605118886000227,0.0124038049577195,0.189486430928252,81,1.95061728395062,0,263,0.0785060907475344,0.0079058411915447,0.186854401959782,71,1.032
"1659",1659,1659,125,10,"""scale-free""",25,1,25,50,500,"count turtles",1659,125,124,3.6,35,1.88571428571429,0,161.685714285714,0.0547845763392414,0.00774155720541041,0.196237829310446,6,1.83333333333333,0,101.833333333333,0.0377066875198124,0.00763681282528006,0.191490431950606,8,1.25,0,61,0.0452777592401579,0.00545843694006945,0.1825571971582,76,2.11842105263158,0,339.973684210526,0.0827818818763428,0.00841522533339999,0.201319039993639,65,0.984
"1660",1660,1660,125,10,"""scale-free""",25,1,25,50,500,"count turtles",1660,125,124,2,36,2.25,0,411.444444444444,0.139779551832306,0.00888961100230099,0.191867845129032,7,2.71428571428571,0,421.285714285714,0.173610389125868,0.0105152775364127,0.202982722460482,7,1.42857142857143,0,69.7142857142857,0.106787338808046,0.00604807858801224,0.190335940034466,75,1.84,0,212.386666666667,0.120141976330022,0.00752040681394919,0.189544354480126,64,0.888
"1661",1661,1661,125,10,"""scale-free""",25,1,25,50,500,"count turtles",1661,125,124,1.9,35,1.85714285714286,0,217.428571428571,0.101013699684056,0.00754906310786328,0.190565977591558,6,2.33333333333333,0,334.833333333333,0.149126334154606,0.00930163176524136,0.202299315322988,6,1,0,0,0.0772710785439203,0.00445717250372093,0.18829458514577,78,2.08974358974359,0,315.115384615385,0.0963317858678333,0.00837474314885912,0.190869107412825,69,0.888
"1662",1662,1662,125,10,"""scale-free""",25,1,25,50,500,"count turtles",1662,125,124,1.1,35,2.37142857142857,0,412.571428571429,0.113897582949058,0.00934264921126619,0.175811791437691,8,1.625,0,76.625,0.0476655886299576,0.0070011633011694,0.161252626093672,6,1,0,0,0.0744363281063912,0.00426913454004123,0.177821143577557,76,1.92105263157895,0,322.013157894737,0.0818689804621214,0.00778135742047474,0.169908456240815,72,1.008
"1663",1663,1663,125,10,"""scale-free""",25,1,25,50,500,"count turtles",1663,125,124,1.8,32,1.6875,0,135.46875,0.0824248305933664,0.00704760410509539,0.182345068227463,7,1.71428571428571,0,217.142857142857,0.0675763125136084,0.00705334994149795,0.176898145750908,7,2,0,188.428571428571,0.119358063890642,0.00809555251809603,0.195140244184357,79,2.12658227848101,0,367.215189873418,0.101659321078669,0.00846119432176948,0.183578845868604,79,0.96
"1664",1664,1664,125,10,"""scale-free""",25,1,25,50,500,"count turtles",1664,125,124,3.2,33,2.06060606060606,0,253.181818181818,0.0771204967223886,0.00827949523708634,0.17151903973563,6,2,0,199.666666666667,0.0178914088212672,0.00816975510975117,0.172468961334321,5,2.2,0,948,0.134214688659408,0.00828581831853339,0.196614159411953,81,1.93827160493827,0,310.086419753086,0.0517843088698579,0.00785591401141946,0.166997854167657,70,0.96
"1665",1665,1665,125,10,"""scale-free""",25,1,25,50,500,"count turtles",1665,125,124,2.6,34,2,0,253.764705882353,0.0643971568783704,0.00810428498171841,0.199037953551309,6,1.66666666666667,0,121.833333333333,0.0659534658968139,0.0069835636916335,0.195166654496014,5,1.4,0,49.2,0.066557793941974,0.00605127734354079,0.200563361563199,80,2.0375,0,301.7375,0.0722072117142735,0.00815370677192586,0.19372494220056,76,0.992
"1666",1666,1666,125,10,"""scale-free""",25,1,25,50,500,"count turtles",1666,125,124,2.4,35,2.02857142857143,0,256.371428571429,0.101476598500242,0.00819324744063204,0.191481861250725,5,1.4,0,49.2,0.049194101118394,0.00606311807290339,0.174831711369184,4,1.25,0,30.75,0.111847689833193,0.00540767492338038,0.200778268634945,81,2.03703703703704,0,304.79012345679,0.10475262811762,0.00816407468543012,0.194522100675405,79,1.016
"1667",1667,1667,125,10,"""scale-free""",25,1,25,50,500,"count turtles",1667,125,124,1.8,33,1.6969696969697,0,225.666666666667,0.0775924216104825,0.00702698992607955,0.170559742293188,5,1.6,0,190.6,0.085235794283236,0.00666765241532961,0.170537247471447,7,1.71428571428571,0,121.571428571429,0.0600927410339362,0.00721126535791202,0.171807341720066,80,2.15,0,362.3375,0.0994255317875813,0.00855365266071678,0.176251420147438,79,1.008
"1668",1668,1668,125,10,"""scale-free""",25,1,25,50,500,"count turtles",1668,125,124,1.7,35,2.02857142857143,0,421.171428571429,0.0617156516523021,0.00806695487181002,0.178283038728556,7,1.57142857142857,0,87.2857142857143,0.00442023605620411,0.00677501015797814,0.155398433303067,4,4.75,0,885.5,0.260614269912386,0.0175149026920077,0.177731814650562,79,1.86075949367089,0,256.506329113924,0.0625495540903672,0.00759711262800976,0.168316245136718,71,0.984
"1669",1669,1669,125,10,"""scale-free""",25,1,25,50,500,"count turtles",1669,125,124,1.8,34,2.11764705882353,0,356.176470588235,0.0688001685787317,0.00844395402129874,0.189742270855404,8,4.25,0,1192.625,0.2144280404781,0.0155250543516705,0.225422566319461,6,3.5,0,528.5,0.252975370896456,0.0132455566308486,0.20479967697066,77,1.57142857142857,0,131.74025974026,0.0764843138505728,0.00661339985295308,0.182948808099366,48,0.72
"1670",1670,1670,125,10,"""scale-free""",25,1,25,50,500,"count turtles",1670,125,124,2.2,36,1.5,0,91.2777777777778,0.0533501539377538,0.00644215828461538,0.160305162658603,5,4.2,0,891.6,0.213322484951993,0.0157108487727103,0.196150518634553,6,1.33333333333333,0,41,0.109004921856015,0.00568120089727148,0.176762019214638,78,2.11538461538462,0,404.410256410256,0.11108045689424,0.00840308785264956,0.174956378933864,65,0.896
"1671",1671,1671,125,10,"""scale-free""",25,1,25,50,500,"count turtles",1671,125,124,1.7,34,2.14705882352941,0,256.176470588235,0.108407652139612,0.008628487909637,0.191143076169358,6,2.33333333333333,0,376.666666666667,0.115245469275025,0.00906455973722468,0.2042605800917,8,1.375,0,176.5,0.0741337495571735,0.00559623021725279,0.197101085182488,77,1.94805194805195,0,292.649350649351,0.089037783107191,0.00788927546637625,0.186954622335822,72,0.936
"1672",1672,1672,125,10,"""scale-free""",25,1,25,50,500,"count turtles",1672,125,124,2.3,34,1.94117647058824,0,281.264705882353,0.0705040235830417,0.00791104907814085,0.189098461583868,5,1.4,0,49.2,0.0450874474636449,0.00617224507132505,0.174400516595079,6,1.66666666666667,0,141,0.0379572470505798,0.00693865968604619,0.181011777950762,80,2.0625,0,287.6375,0.105912708318431,0.00823163934837886,0.199152048516399,71,1.024
"1673",1673,1673,125,10,"""scale-free""",25,1,25,50,500,"count turtles",1673,125,124,2,34,1.85294117647059,0,272.411764705882,0.064143454106018,0.00745152551703792,0.215058359564531,7,1.57142857142857,0,120.285714285714,0.0142459761839308,0.00667101638909147,0.18559933859261,6,1.66666666666667,0,158.5,0.0260600063988364,0.00692818413520905,0.193100156652951,78,2.1025641025641,0,260.525641025641,0.0719117713420099,0.00844079375494636,0.207187422193132,75,0.944
"1674",1674,1674,125,10,"""scale-free""",25,1,25,50,500,"count turtles",1674,125,124,2.2,35,2.31428571428571,0,384.571428571429,0.10677071863658,0.0091835475349308,0.190507248105367,5,1.4,0,49.2,0.0460434099335788,0.00595157433148592,0.186244770549357,6,1.33333333333333,0,61.1666666666667,0.0706577281570902,0.00577896391441326,0.178623960332277,79,1.92405063291139,0,244.822784810127,0.10860178311603,0.00777397697637358,0.199165864442381,72,1.024
"1675",1675,1675,125,10,"""scale-free""",25,1,25,50,500,"count turtles",1675,125,124,2,35,1.94285714285714,0,211,0.0749929391252299,0.00798231624776849,0.183257814661262,5,1.2,0,48.8,0.0974024207368362,0.00519656744263296,0.180871589181083,5,1.2,0,24.6,0.0681184620968821,0.00533558689727881,0.181531521884025,80,2.1,0,339.55,0.106402611521677,0.0083494769953568,0.192670222827128,75,1
"1676",1676,1676,125,10,"""scale-free""",25,1,25,50,500,"count turtles",1676,125,124,2.8,35,1.82857142857143,0,354.2,0.0793309827089409,0.00739680739547955,0.180521364733166,5,1.8,0,190.2,0.0279280387391619,0.00732123299506592,0.169575950990154,6,2,0,122,0.029573226951684,0.0083253498714617,0.176992863860332,79,2.06329113924051,0,278.759493670886,0.0848487677207347,0.0082854870500521,0.186977714576151,70,0.976
"1677",1677,1677,125,10,"""scale-free""",25,1,25,50,500,"count turtles",1677,125,124,2.7,33,2.15151515151515,0,386.727272727273,0.0484885451941409,0.00856105725129603,0.185179441709509,5,5.6,0,1259.4,0.211186375239069,0.0205185857044141,0.193730766480637,6,1.33333333333333,0,61.1666666666667,0.120427538887332,0.00549845335640891,0.211219892218965,81,1.74074074074074,0,197.851851851852,0.055579343400809,0.00718396866724329,0.184752556171944,49,0.648
"1678",1678,1678,125,10,"""scale-free""",25,1,25,50,500,"count turtles",1678,125,124,2.8,32,2.28125,0,377.5625,0.0975085122170703,0.0089722351330642,0.195621770439314,5,3.2,0,509.6,0.133227279475256,0.0121347106603367,0.208985778747658,7,1.42857142857143,0,52.7142857142857,0.0564334002006185,0.00606264112961381,0.195185238428441,81,1.83950617283951,0,238.185185185185,0.065061073651698,0.00752810413003661,0.189088290839385,65,0.848
"1679",1679,1679,125,10,"""scale-free""",25,1,25,50,500,"count turtles",1679,125,124,1.7,34,2.08823529411765,0,296.735294117647,0.101508104836361,0.00837575892612895,0.159267242177905,6,2.5,0,1002.83333333333,0.248306176972317,0.00937475045730921,0.182317198991103,6,2.5,0,471.166666666667,0.0344928331751401,0.0101900026495857,0.139113900292476,79,1.86075949367089,0,306.417721518987,0.0953569997402924,0.00756754022620565,0.157838016056038,67,0.968
"1680",1680,1680,125,10,"""scale-free""",25,1,25,50,500,"count turtles",1680,125,124,1,34,2.05882352941176,0,283.294117647059,0.109848126049692,0.0082515591977779,0.193169370632871,7,1.42857142857143,0,52.5714285714286,0.0670329135092377,0.00616622500239529,0.182459847874257,8,3.5,0,959.25,0.265676971822221,0.01303380330865,0.210746969265137,76,1.84210526315789,0,223.368421052632,0.0996390577033098,0.0075264866551261,0.185851995666136,71,0.992
"1681",1681,1681,125,10,"""scale-free""",25,1,25,75,15,"count turtles",1681,125,124,2,31,2.32258064516129,0,334.548387096774,0.101589131185982,0.00927118788652319,0.177390491931189,6,1,0,0,0.0959727205731081,0.00446148233932648,0.168554499460344,7,2.28571428571429,0,392.714285714286,0.112246815511722,0.00896135042483197,0.190266730775258,81,1.90123456790123,0,300.469135802469,0.107460770538139,0.00769252874701233,0.177807596858618,53,1.04
"1682",1682,1682,125,10,"""scale-free""",25,1,25,75,500,"count turtles",1682,125,124,3.4,35,2.37142857142857,0,697.514285714286,0.117051007979732,0.00925722574632083,0.148044866718962,6,2.5,0,678,0.0891514371567983,0.0101597975970461,0.145504685937038,4,2.5,0,385,0.00616473855870774,0.00981316957995907,0.118577831748638,80,1.75,0,224.0375,0.0865871253470846,0.00719732043720822,0.147562917521115,34,0.96
"1683",1683,1683,125,10,"""scale-free""",25,1,25,75,500,"count turtles",1683,125,124,1.9,35,2.08571428571429,0,482.285714285714,0.0994439936934019,0.00823369006052476,0.153349217881167,4,3,0,1738.25,0.0793505655046322,0.0107791454772563,0.184982221599255,7,1.42857142857143,0,52.5714285714286,0.0655671549854516,0.00621549706446338,0.140324014904491,79,1.93670886075949,0,290.772151898734,0.04557737349488,0.00791387071546031,0.142788551092769,38,0.848
"1684",1684,1684,125,10,"""scale-free""",25,1,25,75,500,"count turtles",1684,125,124,2,33,2,0,453.727272727273,0.102132906816736,0.00794684839220385,0.197840800789022,7,1.85714285714286,0,156,0.0477010038447091,0.00774699805430642,0.187649165987164,3,1.66666666666667,0,122.333333333333,0.0853328011903767,0.00696777823011982,0.196932117543223,82,2,0,207.878048780488,0.083594646401952,0.00808075221935084,0.193312557672055,48,1
"1685",1685,1685,125,10,"""scale-free""",25,1,25,75,500,"count turtles",1685,125,124,1.2,34,1.82352941176471,0,148.382352941176,0.0409565154885132,0.00756903230946741,0.201093085169026,6,2.33333333333333,0,406,0.126880308748203,0.00900323291162067,0.242680662228794,5,5.4,0,1309.4,0.217518647772985,0.0192516845906644,0.230986544492255,80,1.8125,0,210.475,0.0643527530742294,0.00740468851318827,0.209768469972626,40,0.992
"1686",1686,1686,125,10,"""scale-free""",25,1,25,75,500,"count turtles",1686,125,124,1.8,35,2.28571428571429,0,482.542857142857,0.121348377451557,0.0090627240775285,0.161955303989304,6,2,0,808.166666666667,0.083302953663085,0.00767268619464858,0.179526905989275,5,2.2,0,170.8,0.0296698265838488,0.00902254270436624,0.16697846703978,79,1.83544303797468,0,250.025316455696,0.0750045244103158,0.00748931426071873,0.160118074193538,44,0.936
"1687",1687,1687,125,10,"""scale-free""",25,1,25,75,500,"count turtles",1687,125,124,2.8,33,1.78787878787879,0,217.727272727273,0.0881601795642407,0.00735227235059428,0.181540833383603,6,1.5,0,61.5,0.0470167217321582,0.00649663023146549,0.17813427851262,8,2.125,0,209.125,0.0446450969301835,0.0088316516822223,0.169465099127609,78,2.08974358974359,0,351.064102564103,0.110785955555927,0.00830438484081817,0.182827186491319,42,1.024
"1688",1688,1688,125,10,"""scale-free""",25,1,25,75,22,"count turtles",1688,125,124,1.4,35,2.28571428571429,0,317.8,0.101933878271482,0.00896322686271661,0.229798973250619,6,1,0,0,0.115158553682261,0.00424488267615045,0.251019216196083,7,1.85714285714286,0,188.857142857143,0.0570803151589511,0.00766994212903497,0.212353819761178,77,1.93506493506494,0,212.532467532468,0.0697205318142006,0.00788478141356845,0.216072953194958,40,1.056
"1689",1689,1689,125,10,"""scale-free""",25,1,25,75,500,"count turtles",1689,125,124,2.1,35,2.05714285714286,0,276,0.0543716616332941,0.00831237113911189,0.184307627728463,5,2.6,0,194.6,0.0596747317920669,0.0108197255305977,0.180198239537577,8,2.125,0,441.125,0.109201765231117,0.00833702434751294,0.198869716524844,77,1.8961038961039,0,272.311688311688,0.0816368184392037,0.00763989854153236,0.190666563556467,48,0.96
"1690",1690,1690,125,10,"""scale-free""",25,1,25,75,500,"count turtles",1690,125,124,1.3,36,1.75,0,206,0.16667693650851,0.00711906291874826,0.151576418165292,6,1.33333333333333,0,61.1666666666667,0.102759875747553,0.0058195176645324,0.150625600565607,4,3,0,1314,0.290428833234711,0.0112500393193864,0.186925572175223,79,2.08860759493671,0,406.063291139241,0.144549237353967,0.00840248698304206,0.149742010535218,36,1.016
"1691",1691,1691,125,10,"""scale-free""",25,1,25,75,500,"count turtles",1691,125,124,1.6,33,2.27272727272727,0,233.818181818182,0.112760402240699,0.00903553453236024,0.216278110974634,4,1.5,0,61.5,0.0705399921947272,0.00633174593534396,0.215533201466019,6,1.5,0,61.3333333333333,0.0465551512505193,0.00647385182480568,0.194652846429858,82,1.92682926829268,0,265.365853658537,0.0583045395396643,0.00777630811880368,0.211203178619977,42,1.048
"1692",1692,1692,125,10,"""scale-free""",25,1,25,75,500,"count turtles",1692,125,124,1.6,34,2.23529411764706,0,302.676470588235,0.0808689599475345,0.0088728732140102,0.194841384451626,7,5.14285714285714,0,1494.14285714286,0.225679249240271,0.0183110551786825,0.229565364471525,6,1.66666666666667,0,82,0.014485614684168,0.00718803001546574,0.165945711081371,78,1.61538461538462,0,168.615384615385,0.056134918254154,0.00675662492794976,0.18874802157398,24,0.576
"1693",1693,1693,125,10,"""scale-free""",25,1,25,75,500,"count turtles",1693,125,124,1.8,34,1.88235294117647,0,217.970588235294,0.108499146387225,0.00766509287614106,0.179429221075191,6,1.66666666666667,0,101.333333333333,0.0839045508601898,0.00701305950304652,0.176718262148536,6,1.66666666666667,0,81.5,0.0447278611848917,0.00728189656579788,0.155622622221631,79,2.07594936708861,0,345.189873417722,0.143288678026933,0.00827363425060933,0.189594002594876,45,0.992
"1694",1694,1694,125,10,"""scale-free""",25,1,25,75,500,"count turtles",1694,125,124,1.6,34,2.08823529411765,0,337.382352941176,0.101218120387851,0.00840451561511911,0.174240163903498,7,2.14285714285714,0,382.714285714286,0.100603722902957,0.00835518174857983,0.180843727441399,8,1.5,0,223.75,0.0221954352845743,0.00622753918543447,0.162701800096726,76,1.97368421052632,0,302.526315789474,0.067423198895406,0.00797289320213705,0.169790098348734,39,0.848
"1695",1695,1695,125,10,"""scale-free""",25,1,25,75,500,"count turtles",1695,125,124,2.4,33,1.90909090909091,0,445.575757575758,0.176502226620213,0.00750174724790013,0.197990974070479,5,1.8,0,122.4,0.0929825364429309,0.0074754191098909,0.184428181573737,7,1.42857142857143,0,86.5714285714286,0.112979417601386,0.00598997537476046,0.188189751178608,80,2.075,0,241.15,0.112731753964887,0.00841419272058147,0.181119184614292,39,1.024
"1696",1696,1696,125,10,"""scale-free""",25,1,25,75,500,"count turtles",1696,125,124,1.7,35,2.11428571428571,0,354.228571428571,0.0934105927685756,0.00837177190563904,0.204231905441279,6,2.66666666666667,0,539,0.0939179992224616,0.0102852306956937,0.207495525966315,7,2.85714285714286,0,419.285714285714,0.0988911814808516,0.0111407314447018,0.201147615055438,77,1.79220779220779,0,192.61038961039,0.0728106638317747,0.00736742180539687,0.189951085464074,40,0.976
"1697",1697,1697,125,10,"""scale-free""",25,1,25,75,500,"count turtles",1697,125,124,1.4,34,1.55882352941176,0,105.764705882353,0.0607034512034126,0.0065483429504858,0.200558707046691,8,2.5,0,336.125,0.131070454329353,0.0097738928277667,0.232839632144952,6,1.5,0,158,0.0601006579505492,0.00628913589958458,0.20359827808984,77,2.15584415584416,0,299.311688311688,0.105358437948693,0.00859000495667326,0.2157428338832,45,0.864
"1698",1698,1698,125,10,"""scale-free""",25,1,25,75,500,"count turtles",1698,125,124,1.8,32,2,0,330.84375,0.0985237028515341,0.00798346439195751,0.182513303901662,6,2,0,141.666666666667,0.117621310791847,0.00825347161423828,0.178639758773966,6,1.83333333333333,0,100.833333333333,0.0702519161206115,0.00762096337423987,0.166444211173109,81,1.98765432098765,0,311.20987654321,0.0834899737201148,0.00801583369785791,0.1792849994782,43,0.992
"1699",1699,1699,125,10,"""scale-free""",25,1,25,75,500,"count turtles",1699,125,124,2.5,33,1.66666666666667,0,117.848484848485,0.0459068111106856,0.0070292923538903,0.186009249879498,8,4.125,0,1011.5,0.162004917292911,0.0150627685267077,0.189624542177366,6,2,0,445.833333333333,0.078136248793335,0.00784067593301121,0.193435199182472,78,1.8974358974359,0,251.897435897436,0.0607397770710841,0.00769855318602425,0.196999801286311,26,0.632
"1700",1700,1700,125,10,"""scale-free""",25,1,25,75,500,"count turtles",1700,125,124,1.7,33,1.90909090909091,0,185.060606060606,0.0506440361762532,0.00784929590798574,0.185300695366212,6,2,0,202.5,0.0842618607550575,0.00812959373970122,0.200855267077681,6,3,0,956.166666666667,0.0666715289280799,0.0112514724089586,0.200309956751163,80,1.9375,0,271.5875,0.0744400051953479,0.00780858547680639,0.18986232287937,43,0.984
"1701",1701,1701,125,10,"""scale-free""",25,1,25,75,500,"count turtles",1701,125,124,2.9,34,1.70588235294118,0,154.705882352941,0.0596288952974898,0.00709750591265597,0.178448515305245,4,2.25,0,497,0.0843110964468299,0.00854518945027904,0.212043300737864,8,2,0,253.5,0.0648381017147067,0.00807900589910324,0.177970758816534,79,2.08860759493671,0,337.848101265823,0.102617598578764,0.00835281005032601,0.184941806566129,40,0.976
"1702",1702,1702,125,10,"""scale-free""",25,1,25,75,500,"count turtles",1702,125,124,1.3,33,2.21212121212121,0,409.424242424242,0.129117019983155,0.00871384952623037,0.196570300905165,7,2.14285714285714,0,305.857142857143,0.124961000089793,0.00865648521499481,0.195249356113841,4,1.25,0,618.75,0.102284654971379,0.00522484412601128,0.1922821984761,81,1.91358024691358,0,203.617283950617,0.0907214459374138,0.0077894838595727,0.186198705503931,34,0.928
