"","agents-n","links-n","spreaders-avglinks","ambiv-n","ambiv-avglinks","ambiv-cluster-coeff","ambiv-betweenness","ambiv-eigencent","ambiv-pgrank","ambiv-closeness","rej-n","rej-avglinks","rej-coeff","rej-betweenness","rej-eigencent","rej-pgrank","rej-closeness","aa-n","aa-avglinks","aa-coeff","aa-betweenness","aa-eigencent","aa-pgrank","aa-closeness","as-n","as-avglinks","as-coeff","as-betweenness","as-eigencent","as-pgrank","as-closeness","believers-n","misinfo-avgexpose-n"
"5642",1500,4488,5,404,5.95544554455446,0.00516640949809267,2695.43183362959,0.307711947301606,0.000668738978522395,0.213569986760167,67,6.1044776119403,0.00159807025478667,2904.91773500011,0.322409177917221,0.000685313085201145,0.215070000253521,55,6.25454545454545,0.00544011544011544,3153.37354465547,0.336609836921472,0.000686821247775793,0.215784459382341,974,5.97227926078029,0.00620969265733125,2750.13501644003,0.320004070274807,0.000663046973085474,0.214484948904621,58,2.89666666666667
"5643",1500,4494,5,399,6.06015037593985,0.00642182935416018,2808.59578524224,0.257859986536914,0.000674850027907672,0.214252041956276,68,6.13235294117647,0.00378045157456922,2948.30845273036,0.254511130795174,0.0006792343998594,0.214923222704849,56,6.16071428571429,0.00340136054421769,2925.94395577229,0.268441029865065,0.000685389825121968,0.215407720837843,977,5.94472876151484,0.00509262714994547,2714.15193999942,0.255114661850666,0.000661231732651896,0.214143890122435,57,2.81666666666667
"5644",1500,4496,7,426,6.03051643192488,0.00557120240218832,2841.99488596695,0.220311959447452,0.00066834205635262,0.214460382831243,53,6.13207547169811,0.0052438127909826,3060.84186849917,0.214056104711607,0.00068709669610613,0.214022096127006,91,6.26373626373626,0.0074037074037074,3080.69967820514,0.231865949252624,0.000684850314520644,0.21578751600818,930,5.94408602150538,0.00390964173222238,2680.00955788275,0.211122732575286,0.000662617167380607,0.21348277391721,93,2.86933333333333
"5645",1500,4495,6,425,6.07529411764706,0.00432119514472456,2847.55380116142,0.251860411693051,0.000670547282347283,0.215613102962001,71,6.16901408450704,0.000503018108651911,3086.19058259919,0.248641948665111,0.000681548821548822,0.215432514742835,76,5.96052631578947,0.00985275689223058,2640.33051694865,0.231625918994173,0.00065691504645452,0.21426548745832,928,5.94504310344828,0.00412266134248893,2691.95364639413,0.231990946232086,0.000664413759931001,0.214129055085909,79,2.88466666666667
"5646",1500,4492,6,401,6.03491271820449,0.00664410402565016,2792.23123402605,0.294443083802232,0.000674815934504214,0.21376888113462,76,5.92105263157895,0.00223475355054302,2764.95397884572,0.291186772796284,0.000662168650063387,0.214102342783371,57,6.19298245614035,0.0118233618233618,2947.51936494994,0.321464747639601,0.000679776529513371,0.214950972545737,966,5.96376811594203,0.00434610822809581,2737.91735917302,0.294695302844596,0.000662864110431398,0.214015274710835,61,2.90133333333333
"5647",1500,4494,5,388,5.86082474226804,0.00257322860415644,2539.12958096493,0.280794938712721,0.000654285725490623,0.214064548839833,73,5.89041095890411,0.00520765383779082,2619.59035109425,0.27550625839736,0.000660616132979147,0.213643730880287,74,6.17567567567568,0.00306900306900307,3032.9235416579,0.318280609981324,0.000675662926912927,0.216771192061645,965,6.03834196891192,0.00430051813471503,2826.83034701869,0.291891302655922,0.00067107698931274,0.214674276276486,77,2.82733333333333
"5648",1500,4494,5,410,6.04146341463415,0.00455478126209834,2767.08236814859,0.26678426018237,0.000671772889937524,0.214442137509098,59,5.98305084745763,0.00216572504708098,2647.86739127639,0.266138947510281,0.000667220453745878,0.213685122804168,101,6.07920792079208,0.00493477919220493,2986.21793280132,0.261574164979481,0.000674158344405869,0.214895135285615,930,5.96129032258064,0.00330199072134556,2735.60864705467,0.261734215501387,0.000663566790935071,0.214187664095851,105,2.788
"5649",1500,4488,5,397,5.83879093198992,0.00519734952984323,2553.03180248417,0.271507880936837,0.000656155725513408,0.212730451573331,86,5.97674418604651,0.00552787006275378,2722.87789445515,0.292369537342961,0.000663157519698217,0.214255812844445,76,6.31578947368421,0.00453216374269006,3143.81545097959,0.313336458051945,0.000692140736943368,0.215736213688331,941,6.01912858660999,0.00513230128001647,2824.04452839128,0.29099485119511,0.000668987419967759,0.214297963555627,77,2.81266666666667
"5650",1500,4491,6,387,6.05684754521964,0.00628992024340862,2862.94330906129,0.231753861961665,0.000669833256512844,0.21540481838134,89,6.02247191011236,0.0055725797298831,2784.63870243881,0.222086174139288,0.000677542299564771,0.21445121132577,67,5.98507462686567,0.001954513148543,2790.00676621357,0.222095512846461,0.000668183316131077,0.215799335693392,957,5.95715778474399,0.0054503771680611,2693.50955228832,0.22434038365953,0.000664031678391658,0.214681728031395,69,2.88066666666667
"5651",1500,4497,5,408,5.98529411764706,0.00297212319271143,2694.36354717344,0.296328851292996,0.000667672774756108,0.215064695159032,70,6.17142857142857,0.00649659863945578,2899.84335056814,0.305928669578236,0.000687316308030594,0.216254869767894,80,5.9375,0.00146735209235209,2676.12186246559,0.294344496417679,0.000659339969058719,0.215395199612566,942,5.99256900212314,0.00322288586619797,2753.08374651403,0.298193472213352,0.000665318650544233,0.215375783964476,81,2.77266666666667
"5652",1500,4495,5,397,5.95717884130982,0.00424531388007459,2736.1937452947,0.208149603169764,0.000661813352474562,0.214830313032101,75,6.42666666666667,0.00494912494912495,3363.91833769907,0.235447786307528,0.000697640439807107,0.216985068596921,82,5.92682926829268,0.000580720092915215,2580.57326725195,0.201276994189618,0.000673511996133947,0.213430324314142,946,5.97991543340381,0.00491304561072003,2719.46532756439,0.210011414253537,0.000665421471489125,0.214796694904005,88,2.874
"5653",1500,4494,7,408,6.03921568627451,0.00614787581699346,2839.39011044732,0.220603215143693,0.000667739638833389,0.215702423829519,67,5.7910447761194,0.00393271736555319,2518.53727622899,0.194004396866783,0.000655139960233244,0.213288264959286,69,5.89855072463768,0.00489019836845924,2624.68897801321,0.212822597247016,0.000665052926810173,0.214097416153423,956,5.99267782426778,0.00469795778373184,2725.03796856406,0.214071395297578,0.000667133052374946,0.215211617667548,74,2.86866666666667
