"","n","min(ambiv.avglinks)","mean(ambiv.avglinks)","max(ambiv.avglinks)","min(rej.avglinks)","mean(rej.avglinks)","max(rej.avglinks)","min(aa.avglinks)","mean(aa.avglinks)","max(aa.avglinks)","min(as.avglinks)","mean(as.avglinks)","max(as.avglinks)"
"1",125,1.26470588235294,1.99037763022985,3.03030303030303,1,1.96024568138766,7,1,1.98125319924703,8.6,1.56962025316456,1.98342112011349,2.35
"2",500,1.5530303030303,1.99422327886313,2.5530303030303,1.14285714285714,2.00123100282756,4.375,1,2.01567702309072,4.92307692307692,1.71739130434783,1.9948093741387,2.2483660130719
"3",1500,1.72020725388601,1.99834616235246,2.40050377833753,1.33333333333333,2.00415242100501,3.45,1.38095238095238,2.00003601102734,3.78,1.8372591006424,1.99847566047224,2.13242961418144
