"","n","min(ambiv.avglinks)","mean(ambiv.avglinks)","max(ambiv.avglinks)","min(rej.avglinks)","mean(rej.avglinks)","max(rej.avglinks)","min(aa.avglinks)","mean(aa.avglinks)","max(aa.avglinks)","min(as.avglinks)","mean(as.avglinks)","max(as.avglinks)"
"1",125,5.3030303030303,5.79404939099088,6.4,4.5,5.79787896602711,7.8,4.25,5.78909971258737,7.4,5.48648648648649,5.7977516397108,6.09459459459459
"2",500,5.65151515151515,5.91509633997145,6.2015503875969,5.26666666666667,5.91838092965288,6.9,5.2,5.92283122155581,6.6875,5.79299363057325,5.91748643640999,6.04901960784314
"3",1500,5.78155339805825,5.99077862378645,6.21695760598504,5.28205128205128,5.99546368230839,6.63829787234043,5.38235294117647,5.99157996880447,6.71428571428571,5.90010741138561,5.99062246144666,6.08032955715757
