"","n","spreadern","min(pctbelief)","mean(pctbelief)","max(pctbelief)"
"1",125,1,0.008,0.27599012345679,0.712
"2",125,5,0.048,0.333837037037037,0.736
"3",125,10,0.096,0.368967901234568,0.752
"4",500,1,0.002,0.246488888888889,0.68
"5",500,5,0.02,0.30183950617284,0.684
"6",500,10,0.036,0.318891358024691,0.698
"7",1500,1,0.000666666666666667,0.231623868312757,0.670666666666667
"8",1500,5,0.016,0.288273251028807,0.667333333333333
"9",1500,10,0.0246666666666667,0.300534156378601,0.680666666666667
