"","n","spreadern","min(spreaders.avglinks)","mean(spreaders.avglinks)","max(spreaders.avglinks)"
"1",125,1,4,5.81975308641975,9
"2",125,5,4.8,5.78938271604938,7.2
"3",125,10,5,5.79,6.8
"4",500,1,4,5.84320987654321,10
"5",500,5,5,5.91876543209877,7.4
"6",500,10,5,5.91061728395062,6.8
"7",1500,1,5,6.04197530864197,14
"8",1500,5,5,5.99950617283951,8.8
"9",1500,10,5.1,5.99160493827161,8.2
